file,block,muts,py,diff,rat,mcc,lines,variance,min,max,range,avgmutsperblock,bcharm,colons,indent,ifthenelse,assign,brackets,parens,dots,longstrings,tests,words,numbers,strings,braces,du,arith,comment,empty,idelta,commas,linelen,fdelta,lcc
_home_joshua_ucPython_lib_python2_7_abc_py,_dump_registry,1505,1486,-19,-0.19,3,8,0.0066234375,-0.22,0.05,0.27,1860,-0.0102150537634409,6,2.5,1,2,0,14,7,2,0,15,0,9,0,6,11,0,0,2,7,423,-1,0
_home_joshua_ucPython_lib_python2_7_abc_py,abstractmethod,941,923,-18,-0.18,1,19,0.32981875,-1.19,0.31,1.5,1860,-0.00967741935483871,1,0.157894736842105,0,1,0,2,1,1,0,7,0,1,0,2,0,0,0,1,0,132,-1,0
_home_joshua_ucPython_lib_python2_7_abc_py,abstractproperty,752,702,-50,-0.5,1,27,0.242288888888889,-1.13,0.01,1.14,1860,-0.0268817204301075,1,0.0740740740740741,0,1,0,2,0,1,0,6,0,1,0,2,0,0,0,0,0,114,-1,0
_home_joshua_ucPython_lib_python2_7_abc_py,register,1882,1840,-42,-0.42,4,13,0.008901,-0.19,0.08,0.27,1860,-0.0225806451612903,4,1.69230769230769,3,1,0,16,4,2,0,32,1,3,0,0,0,2,0,0,5,502,-1,0
_home_joshua_ucPython_lib_python2_7_locale_py,_build_localename,1250,1243,-7,-0.07,3,15,0.0930617283950617,-0.79,0.45,1.24,7492.30769230769,-0.00093429158110883,4,0.733333333333333,3,2,0,3,0,1,0,12,0,5,0,0,2,0,0,1,2,278,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,_format,2750,2638,-112,-1.12,10,23,0.0380580578512397,-0.93,0.06,0.99,7492.30769230769,-0.0149486652977413,9,2.17391304347826,8,15,10,20,2,0,0,36,6,10,0,0,6,0,0,0,11,828,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,_group,3377,3231,-146,-1.46,11,28,0.034362962962963,-0.72,0.17,0.89,7492.30769230769,-0.0194866529774127,10,1.53571428571429,5,13,16,27,5,0,1,36,5,17,0,0,8,0,0,0,3,805,1,0
_home_joshua_ucPython_lib_python2_7_locale_py,_grouping_intervals,1501,1496,-5,-0.05,6,14,0.00613541666666667,-0.15,0.16,0.31,7492.30769230769,-0.00066735112936345,6,1.92857142857143,3,2,0,4,0,0,2,28,1,1,0,0,0,0,0,1,0,363,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,_parse_localename,1625,1619,-6,-0.06,6,29,0.0554333333333333,-0.72,0.35,1.07,7492.30769230769,-0.00080082135523614,7,0.586206896551724,6,2,2,10,2,1,2,22,4,19,0,0,4,0,0,0,5,438,-1,0
_home_joshua_ucPython_lib_python2_7_locale_py,_print_locale,6200,6213,13,0.13,17,55,0.0217024573094544,-0.74,0.57,1.31,7492.30769230769,0.00173511293634497,24,1.49090909090909,2,7,6,52,3,1,1,104,5,68,2,0,4,0,0,3,22,1626,-5,0
